,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Year,population,county,year
0,INV-09962700007,01/23/2018,4310,Fareway Stores #502 / Cherokee,205 West Bluff St,Cherokee,51012.0,POINT (-95.551866 42.75508),18.0,CHEROKEE,1012100.0,Canadian Whiskies,395,PROXIMO,14192,Pendleton Canadian Whisky,12,750,13.1,19.65,3,58.95,2.25,0.59,2018,,,
1,INV-09965700080,01/23/2018,2572,Hy-Vee Food Store / Cedar Falls,6301 University,Cedar Falls,50613.0,POINT (-92.435236 42.512789),7.0,BLACK HAWK,1031100.0,American Vodkas,55,SAZERAC NORTH AMERICA,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56,21.0,5.55,2018,131723,,
2,INV-10018300132,01/25/2018,2544,Hy-Vee Food Store / Marshalltown,802 South Center,Marshalltown,50158.0,POINT (-92.912817 42.039205),64.0,MARSHALL,1062100.0,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,12,79.56,12.0,3.17,2018,,,
3,INV-10004400033,01/25/2018,2130,Sycamore Convenience,617 Sycamore,Waterloo,50703.0,POINT (-92.335358 42.497854),7.0,BLACK HAWK,1062500.0,Flavored Rum,370,PERNOD RICARD USA,42717,Malibu Coconut Rum,12,1000,10.49,15.74,36,566.64,36.0,9.51,2018,131723,,
4,INV-09923000033,01/22/2018,5373,Sodes Green Acre,7 Goethe Street Ste. B,Guttenberg,52052.0,POINT (-91.095813 42.782907),22.0,CLAYTON,1081600.0,Whiskey Liqueur,260,DIAGEO AMERICAS,66213,Piehole Pecan Pie,12,750,7.49,11.24,2,22.48,1.5,0.4,2018,,,
5,INV-09984400003,01/24/2018,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010.0,POINT (-93.618911 42.022854),85.0,STORY,1011300.0,Single Barrel Bourbon Whiskies,184,FOUR ROSES DISTILLERY,18350,Four Roses Single Barrel,6,750,20.17,30.26,6,181.56,4.5,1.19,2018,,,
6,INV-09999000066,01/24/2018,5514,Johncy's Liquor Store,585 Hwy 965 Ste D & E,North Liberty,52317.0,POINT (-91.60761 41.738129),52.0,JOHNSON,1012200.0,Scotch Whiskies,240,William Grant & Sons Inc,5635,Monkey Shoulder,6,750,17.5,26.25,6,157.5,4.5,1.19,2018,,,
7,INV-09944200006,01/23/2018,3628,Wal-Mart 1528 / Cedar Rapids,2645 Blairs Ferry Rd NE,Cedar Rapids,52402.0,POINT (-91.680734 42.034748),57.0,LINN,1011100.0,Blended Whiskies,260,DIAGEO AMERICAS,25606,Seagrams 7 Crown Bl Whiskey,12,750,7.0,10.5,12,126.0,9.0,2.38,2018,,,
8,INV-09907700048,01/19/2018,5245,Phillips 66,"1516, SE  1st St",Des Moines,50315.0,POINT (-93.613469 41.57592900000001),77.0,POLK,1012100.0,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11773,Black Velvet,48,200,1.56,2.34,4,9.36,0.8,0.21,2018,,,
9,INV-09962100007,01/23/2018,5274,FCA Kingsley C-Store,101 Main St,Kingsley,51028.0,POINT (-95.967322 42.58707400000001),75.0,PLYMOUTH,1081200.0,Cream Liqueurs,300,McCormick Distilling Co.,65199,Tequila Rose Liqueur,12,1000,11.5,17.25,12,207.0,12.0,3.17,2018,,,
