,County,population,Year,county,year
0,STORY,91136,2011,,
1,FAYETTE,22129,1995,,
2,HOWARD,9794,2002,,
3,APPANOOSE,13761,1999,,
4,CLAYTON,17946,2012,,
5,JOHNSON,152854,2020,,
6,MONONA,9978,1992,,
7,SIOUX,31352,1995,,
8,JOHNSON,123171,2006,,
9,JEFFERSON,18256,2018,,
10,LINN,222188,2016,,
11,RINGGOLD,5382,1996,,
12,POCAHONTAS,9493,1991,,
13,POLK,460898,2014,,
14,HANCOCK,12085,1999,,
15,WEBSTER,38346,2009,,
16,MONONA,9123,2007,,
17,TAMA,17549,2008,,
18,CEDAR,18358,2011,,
19,O'BRIEN,14881,2001,,
20,EMMET,11247,1999,,
21,GUTHRIE,10642,2016,,
22,JOHNSON,100939,1994,,
23,PALO ALTO,10245,1999,,
24,CHICKASAW,13287,1995,,
25,OSCEOLA,6021,2017,,
26,MONTGOMERY,11890,1999,,
27,BLACK HAWK,128040,2008,,
28,CHICKASAW,11933,2019,,
29,WASHINGTON,20072,1993,,
30,LYON,11763,2000,,
31,LUCAS,9395,1998,,
32,CHICKASAW,12274,2013,,
33,DICKINSON,16878,2013,,
34,SIOUX,35872,2020,,
35,GUTHRIE,10935,1990,,
36,MILLS,14905,2013,,
37,BENTON,22425,1991,,
38,LYON,11695,2013,,
39,GUTHRIE,10623,2020,,
40,DUBUQUE,94593,2011,,
41,JONES,20743,2011,,
42,PAGE,16001,2004,,
43,JOHNSON,130882,2010,,
44,SCOTT,158808,2003,,
45,BLACK HAWK,131723,2018,,
46,WAYNE,6403,2010,,
47,VAN BUREN,7669,1997,,
48,CEDAR,18499,2010,,
49,TAMA,17501,2012,,
50,CRAWFORD,16416,2009,,
51,POTTAWATTAMIE,90224,2009,,
52,LEE,38965,1995,,
53,CHEROKEE,13450,1997,,
54,TAYLOR,7029,1999,,
55,GREENE,9124,2014,,
56,BENTON,25645,2019,,
57,MAHASKA,22092,2007,,
58,HARRISON,15231,1996,,
59,HUMBOLDT,10462,1999,,
60,JEFFERSON,18295,2019,,
61,CERRO GORDO,45142,2003,,
62,EMMET,11303,1998,,
63,JOHNSON,113878,2001,,
64,CALHOUN,11296,1999,,
65,UNION,12627,2014,,
66,WINNEBAGO,10602,2009,,
67,HOWARD,9713,2003,,
68,WAYNE,7067,1990,,
69,MITCHELL,10784,2005,,
70,CEDAR,18564,2018,,
71,CLAYTON,17661,2016,,
72,DAVIS,8573,2008,,
73,WAYNE,6730,2000,,
74,DALLAS,80631,2015,,
75,JOHNSON,142730,2014,,
76,BENTON,25608,2015,,
77,KOSSUTH,18098,1993,,
78,JACKSON,19912,1992,,
79,ALLAMAKEE,14330,2010,,
80,CRAWFORD,16864,1998,,
81,STORY,96636,2015,,
82,BUTLER,14782,2004,,
83,MUSCATINE,43068,2015,,
84,IOWA,14618,1991,,
85,ADAIR,8409,1990,,
86,LUCAS,9179,2009,,
87,KOSSUTH,15332,2013,,
88,GUTHRIE,11051,2007,,
89,DELAWARE,17619,2005,,
90,FLOYD,17001,1996,,
91,WARREN,44793,2008,,
92,MILLS,14846,2005,,
93,WORTH,7618,2006,,
94,WORTH,7909,2000,,
95,AUDUBON,6916,1998,,
96,POTTAWATTAMIE,86609,1999,,
97,APPANOOSE,12654,2013,,
98,POTTAWATTAMIE,88781,2004,,
99,LEE,38052,2000,,
100,STORY,76265,1996,,
101,DALLAS,29904,1991,,
102,CHEROKEE,12530,2002,,
103,PAGE,15702,2012,,
104,TAYLOR,6233,2013,,
105,WAYNE,6422,2005,,
106,MADISON,12483,1990,,
107,WORTH,7598,2010,,
108,UNION,12309,2000,,
109,CLAY,17662,1998,,
110,JACKSON,19906,2007,,
111,BREMER,23325,2000,,
112,MADISON,14148,2001,,
113,DECATUR,8219,1993,,
114,LOUISA,11694,2008,,
115,FAYETTE,20519,2013,,
116,GRUNDY,12405,2015,,
117,DICKINSON,15196,1992,,
118,BLACK HAWK,131144,2020,,
119,GUTHRIE,11101,1992,,
120,WOODBURY,101640,1994,,
121,JEFFERSON,16563,1995,,
122,FAYETTE,20774,2012,,
123,GUTHRIE,10859,2011,,
124,MUSCATINE,42664,2019,,
125,RINGGOLD,5101,2006,,
126,O'BRIEN,15647,1996,,
127,BENTON,26643,2005,,
128,DAVIS,8771,2011,,
129,FRANKLIN,11179,1993,,
130,GREENE,10366,2000,,
131,MILLS,14547,2000,,
132,WINNEBAGO,11940,1992,,
133,BUENA VISTA,19455,2007,,
134,CARROLL,20766,2006,,
135,KEOKUK,10427,2012,,
136,JACKSON,19393,2016,,
137,KEOKUK,11444,1998,,
138,GREENE,8965,2018,,
139,POLK,333568,1992,,
140,O'BRIEN,13926,2016,,
141,CLAY,16498,2015,,
142,BENTON,25623,2014,,
143,CLARKE,9196,2014,,
144,GRUNDY,12232,2019,,
145,SHELBY,12167,2010,,
146,PAGE,16678,1993,,
147,AUDUBON,5471,2018,,
148,WARREN,39510,1998,,
149,TAMA,17192,2016,,
150,SAC,10199,2008,,
151,JASPER,37256,2004,,
152,JONES,20433,2015,,
153,O'BRIEN,14182,2020,,
154,SHELBY,11454,2019,,
155,CERRO GORDO,43096,2016,,
156,O'BRIEN,15451,1991,,
157,OSCEOLA,7290,1992,,
158,CEDAR,18102,1998,,
159,POLK,490161,2019,,
160,POWESHIEK,18814,1999,,
161,WOODBURY,102831,2009,,
162,O'BRIEN,14156,2012,,
163,GRUNDY,12017,1991,,
164,KEOKUK,11194,2003,,
165,WORTH,7471,2016,,
166,POTTAWATTAMIE,83643,1994,,
167,APPANOOSE,12353,2017,,
168,FRANKLIN,10680,2010,,
169,ADAIR,8380,1995,,
170,TAYLOR,7016,1998,,
171,HENRY,20105,2003,,
172,HARRISON,14582,2020,,
173,MADISON,12949,1995,,
174,CLINTON,50553,1999,,
175,BLACK HAWK,123798,1990,,
176,CLAY,16597,2011,,
177,BENTON,25699,2013,,
178,CALHOUN,11426,1997,,
179,RINGGOLD,5389,2001,,
180,FREMONT,7371,2011,,
181,MITCHELL,10571,2018,,
182,LOUISA,11644,1992,,
183,CHICKASAW,12017,2009,,
184,MARSHALL,39238,1999,,
185,HENRY,20067,2008,,
186,CLINTON,51040,1990,,
